ref;speed;CSpeed;State0
1146;6;10;2
1147;6;10;2
1148;5;10;2
1149;6;10;2
1150;7;7;1
1151;8;8;1
1152;7;7;1
1153;8;8;1
1154;9;9;1
1155;9;9;1
1156;13;13;2
1157;10;10;2
1158;11;11;2
1159;12;12;2
1160;13;13;2
1161;13;13;2
1162;13;13;2
1163;13;13;2
1164;14;14;2
1165;14;14;2
1166;14;14;2
1167;15;15;2
1168;13;13;2
1169;13;13;2
1170;12;12;2
1171;12;12;2
1172;11;11;2
1173;11;11;2
1174;10;10;2
1175;6;6;1
1176;3;3;1
1177;0;2;1
1178;0;2;1
1179;0;2;1
1180;0;2;1
1181;0;2;1
1182;0;2;1
1183;0;2;1
1184;0;2;1
1185;0;0;0
1186;0;0;0
1187;0;0;0
1188;0;0;0
1189;0;0;0
1190;0;0;0
1191;0;0;0
1192;0;0;0
1193;0;0;0
1194;0;0;0
1195;0;0;0
1196;0;0;0
1197;0;0;0
1198;0;0;0
1199;0;0;0
1200;0;0;0
1201;0;0;0
1202;0;0;0
1203;0;0;0
1204;0;0;0
1205;0;0;0
1206;0;0;0
1207;0;0;0
1208;0;0;0
1209;0;0;0
1210;0;0;0
1211;0;0;0
1212;0;0;0
1213;0;0;0
1214;0;0;0
1215;0;0;0
1216;0;0;0
1217;0;0;0
1218;0;0;0
1219;0;0;0
1220;0;0;0
1221;0;2;1
1222;0;2;1
1223;0;2;1
1224;0;2;1
1225;0;2;1
1226;0;2;1
1227;0;2;1
1228;0;2;1
1229;0;2;1
1230;0;2;1
1231;0;2;1
1232;0;2;1
1233;0;2;1
1234;0;2;1
1235;0;2;1
1236;0;2;1
1237;0;2;1
1238;0;2;1
1239;0;2;1
1240;0;2;1
1241;0;2;1
1242;0;2;1
1243;0;2;1
1244;0;2;1
1245;0;2;1
1246;0;2;1
1247;0;2;1
1248;1;2;1
1249;5;5;1
1250;9;9;1
1251;12;12;2
1252;13;13;2
1253;12;12;2
1254;10;10;2
1255;9;9;1
1256;9;9;1
1257;8;8;1
1258;8;8;1
1259;9;9;1
1260;9;9;1
1261;9;9;1
1262;11;11;2
1263;10;10;2
1264;9;9;1
1265;5;5;1
1266;2;2;1
1267;0;2;1
1268;1;2;1
1269;4;4;1
1270;5;5;1
1271;5;5;1
1272;4;4;1
1273;0;2;1
1274;1;2;1
1275;4;4;1
1276;7;7;1
1277;7;7;1
1278;6;6;1
1279;3;3;1
1280;3;3;1
1281;1;2;1
1282;3;3;1
1283;3;3;1
1284;5;5;1
1285;5;5;1
1286;5;5;1
1287;5;5;1
1288;5;5;1
1289;4;4;1
1290;4;4;1
1291;5;5;1
1292;4;4;1
1293;3;3;1
1294;4;4;1
1295;4;4;1
1296;4;4;1
1297;4;4;1
1298;3;3;1
1299;3;3;1
1300;2;2;1
1301;2;2;1
1302;3;3;1
1303;3;3;1
1304;3;3;1
1305;4;4;1
1306;4;4;1
1307;4;4;1
1308;3;3;1
1309;4;4;1
1310;3;3;1
1311;3;3;1
1312;3;3;1
1313;3;3;1
1314;4;4;1
1315;5;5;1
1316;5;5;1
1317;5;5;1
1318;4;4;1
1319;4;4;1
1320;4;4;1
1321;4;4;1
1322;4;4;1
1323;4;4;1
1324;4;4;1
1325;4;4;1
1326;4;4;1
1327;3;3;1
1328;4;4;1
1329;4;4;1
1330;2;2;1
1331;3;3;1
1332;3;3;1
1333;3;3;1
1334;3;3;1
1335;3;3;1
1336;3;3;1
1337;3;3;1
1338;3;3;1
1339;4;4;1
1340;4;4;1
1341;5;5;1
1342;4;4;1
1343;4;4;1
1344;4;4;1
1345;5;5;1
1346;6;6;1
1347;5;5;1
1348;6;6;1
1349;5;5;1
1350;4;4;1
1351;4;4;1
1352;4;4;1
1353;4;4;1
1354;2;2;1
1355;3;3;1
1356;4;4;1
1357;4;4;1
1358;5;5;1
1359;5;5;1
1360;5;5;1
1361;7;7;1
1362;4;4;1
1363;2;2;1
1364;1;2;1
1365;1;2;1
1366;0;2;1
1367;2;2;1
1368;3;3;1
1369;3;3;1
1370;3;3;1
1371;3;3;1
1372;3;3;1
1373;2;2;1
1374;3;3;1
1375;4;4;1
1376;4;4;1
1377;4;4;1
1378;2;2;1
1379;2;2;1
1380;2;2;1
1381;1;2;1
1382;2;2;1
1383;1;2;1
1384;1;2;1
1385;2;2;1
1386;3;3;1
1387;2;2;1
1388;3;3;1
1389;2;2;1
1390;1;2;1
1391;1;2;1
1392;1;2;1
1393;1;2;1
1394;0;2;1
1395;1;2;1
1396;0;2;1
1397;1;2;1
1398;2;2;1
1399;1;2;1
1400;1;2;1
1401;1;2;1
