Times;Class_based_Speed;First_Classification;Snd_Classification;Heuristic_correction;States_REAL;States_Simio;Speed(km/h)
324;1;1;1;1;1;1;3
325;1;1;1;1;1;1;3
326;1;1;1;1;1;1;3
327;1;1;1;1;1;1;3
328;1;1;1;1;1;1;3
329;1;1;1;1;1;1;3
330;1;1;1;1;1;1;3
331;1;1;1;1;1;1;3
332;1;1;1;1;1;1;3
333;1;1;1;1;1;1;3
334;1;1;1;1;1;1;3
335;1;1;1;1;1;1;3
336;1;1;1;1;1;1;3
337;1;1;1;1;1;1;3
338;1;1;1;1;1;1;3
339;1;1;1;1;1;1;3
340;1;1;1;1;1;1;4
341;1;1;1;1;1;1;6
342;1;1;1;1;1;1;9
343;1;1;1;1;1;1;8
344;1;1;1;1;1;1;5
345;1;1;1;1;1;1;2
346;1;1;1;1;1;1;2
347;1;1;1;1;1;1;3
348;1;1;1;1;1;1;6
349;1;1;1;1;1;1;6
350;1;1;1;1;1;1;6
351;1;1;1;1;1;1;4
352;1;1;1;1;1;1;4
353;1;1;1;1;1;1;6
354;1;1;1;1;1;1;7
355;1;1;1;1;1;1;7
356;1;1;1;1;1;1;6
357;1;1;1;1;1;1;5
358;1;1;1;1;1;1;4
359;1;1;1;1;1;1;4
360;1;1;1;1;1;1;3
361;1;1;1;1;1;1;3
362;1;1;1;1;1;1;3
363;1;1;1;1;1;1;3
364;1;1;1;1;1;1;3
365;1;1;1;1;1;1;3
366;1;1;1;1;1;1;2
367;1;1;1;1;1;1;3
368;1;1;1;1;1;1;3
369;1;1;1;1;1;1;2
370;1;1;1;1;1;1;3
371;1;1;1;1;1;1;3
372;1;1;1;1;1;1;2
373;1;1;1;1;1;1;3
374;1;1;1;1;1;1;2
375;1;1;1;1;1;1;2
376;1;1;1;1;1;1;2
377;1;1;1;1;1;1;2
378;1;1;1;1;1;1;3
379;1;1;1;1;1;1;2
380;1;1;1;1;1;1;3
381;1;2;1;1;1;1;3
382;1;2;1;1;1;1;5
383;1;2;1;1;1;1;5
384;1;2;1;1;1;1;6
385;1;2;1;1;1;1;6
386;1;2;1;1;1;1;7
387;1;2;1;1;1;1;6
388;1;2;1;1;1;1;7
389;1;2;1;1;1;1;8
390;1;2;1;1;1;1;8
391;1;2;1;1;1;1;8
392;1;2;1;1;1;1;9
393;0;2;1;1;1;1;11
394;0;2;1;1;1;1;12
395;0;2;1;1;1;1;12
396;0;2;1;1;1;1;12
397;0;2;1;1;1;1;13
398;0;2;1;1;1;1;12
399;0;2;1;1;1;1;11
400;0;2;1;1;1;1;12
401;0;2;1;1;1;1;11
402;0;2;1;1;1;1;11
403;0;2;1;1;1;1;13
404;0;2;1;1;1;1;15
405;0;2;1;1;1;1;17
406;0;2;1;1;1;1;18
407;0;2;1;1;1;1;18
408;0;2;1;1;1;1;19
409;0;2;1;1;1;1;19
410;0;2;1;1;1;1;19
411;0;2;1;1;1;1;19
412;0;2;1;1;1;1;18
413;0;2;1;1;1;1;17
414;0;2;1;1;1;1;17
415;0;2;1;1;1;1;16
416;0;2;1;1;1;1;14
417;0;2;1;1;1;1;14
418;0;2;1;1;1;1;13
419;0;2;1;1;1;1;13
420;0;2;1;1;1;1;13
421;0;2;1;1;1;1;12
422;0;2;1;1;1;1;12
423;0;2;1;1;1;1;12
