Distance;Duration;AvgSpeed;State;State_Predict
0.1000000000000014;2;7.0;1;1
0.0;2;8.0;2;1
0.0;6;8.5;1;1
0.0;18;12.5;2;1
0.3000000000000007;240;2.25;1;1
0.0;1;1.0;0;0
0.0999999999999978;229;1.1441048034934498;1;1
0.0;8;0.375;0;1
1.0;993;2.4239677744209467;1;1
0.1999999999999993;449;0.0690423162583518;0;0
0.3000000000000007;418;1.9258373205741623;1;1
0.0;3;12.333333333333334;2;1
0.1000000000000014;10;2.8;1;1
0.0;1;11.0;2;1
0.3000000000000007;237;3.0084388185654007;1;1
0.0;6;11.0;2;1
0.1999999999999993;93;6.311827956989247;1;1
0.0;17;0.0588235294117647;0;1
2.099999999999998;1854;2.3160733549083066;1;1
0.0;2;0.5;0;1
0.0;1;0.0;1;0
0.0;90;0.1333333333333333;0;0
0.1000000000000014;50;2.36;1;1
0.0;5;10.0;2;1
0.0;11;8.363636363636363;1;1
0.0;1;12.0;2;1
0.0;3;9.0;1;1
0.1000000000000014;10;10.6;2;1
0.0;46;1.3695652173913044;1;0
0.0;6;0.3333333333333333;0;1
0.1999999999999993;219;2.7899543378995437;1;1
0.0;1;10.0;2;1
0.0;4;8.0;1;1
0.0;3;10.333333333333334;2;1
0.0999999999999978;118;2.101694915254237;1;1
0.1000000000000014;157;0.0382165605095541;0;0
