Filename;TimeUTC;speed;Distance_Corrected;State01
2019_0501_145132_801A.MP4;14:54:38;5;0.1;1
2019_0501_145132_801A.MP4;14:54:39;4;0.1;1
2019_0501_145132_801A.MP4;14:54:40;3;0.1;1
2019_0501_145132_801A.MP4;14:54:41;3;0.2;1
2019_0501_145132_801A.MP4;14:54:42;3;0.2;1
2019_0501_145132_801A.MP4;14:54:43;3;0.2;1
2019_0501_145132_801A.MP4;14:54:44;3;0.2;1
2019_0501_145132_801A.MP4;14:54:45;1;0.2;1
2019_0501_145132_801A.MP4;14:54:46;1;0.2;1
2019_0501_145132_801A.MP4;14:54:47;2;0.2;1
2019_0501_145132_801A.MP4;14:54:48;2;0.2;1
2019_0501_145132_801A.MP4;14:54:49;2;0.2;1
2019_0501_145132_801A.MP4;14:54:50;3;0.2;1
2019_0501_145132_801A.MP4;14:54:51;2;0.2;1
2019_0501_145132_801A.MP4;14:54:52;2;0.2;1
2019_0501_145132_801A.MP4;14:54:53;2;0.2;1
2019_0501_145132_801A.MP4;14:54:54;3;0.2;1
2019_0501_145132_801A.MP4;14:54:55;4;0.2;1
2019_0501_145132_801A.MP4;14:54:56;4;0.2;1
2019_0501_145132_801A.MP4;14:54:57;4;0.2;1
2019_0501_145132_801A.MP4;14:54:58;5;0.2;1
2019_0501_145132_801A.MP4;14:54:59;6;0.2;1
2019_0501_145132_801A.MP4;14:55:00;6;0.2;1
2019_0501_145132_801A.MP4;14:55:01;6;0.2;1
2019_0501_145132_801A.MP4;14:55:02;7;0.2;1
2019_0501_145132_801A.MP4;14:55:03;6;0.2;1
2019_0501_145132_801A.MP4;14:55:04;6;0.2;1
2019_0501_145132_801A.MP4;14:55:05;8;0.2;1
2019_0501_145132_801A.MP4;14:55:06;7;0.2;1
2019_0501_145132_801A.MP4;14:55:07;8;0.2;1
2019_0501_145132_801A.MP4;14:55:08;7;0.2;1
2019_0501_145132_801A.MP4;14:55:09;8;0.2;1
2019_0501_145132_801A.MP4;14:55:10;8;0.2;1
2019_0501_145132_801A.MP4;14:55:11;8;0.2;1
2019_0501_145132_801A.MP4;14:55:12;6;0.2;1
2019_0501_145132_801A.MP4;14:55:13;7;0.2;1
2019_0501_145132_801A.MP4;14:55:14;8;0.2;1
2019_0501_145132_801A.MP4;14:55:15;8;0.2;1
2019_0501_145132_801A.MP4;14:55:16;8;0.2;1
2019_0501_145132_801A.MP4;14:55:17;7;0.2;1
2019_0501_145132_801A.MP4;14:55:18;7;0.2;1
